id	drugType	childChemblIds	parentId	linkedTargets.rows
CHEMBL900	Small molecule	CHEMBL1201023		ENSG00000144285
CHEMBL900	Small molecule	CHEMBL1201023		ENSG00000183873
CHEMBL900	Small molecule	CHEMBL1201023		ENSG00000007314
CHEMBL900	Small molecule	CHEMBL1201023		ENSG00000136546
CHEMBL900	Small molecule	CHEMBL1201023		ENSG00000136531
CHEMBL900	Small molecule	CHEMBL1201023		ENSG00000169432
CHEMBL900	Small molecule	CHEMBL1201023		ENSG00000153253
CHEMBL900	Small molecule	CHEMBL1201023		ENSG00000168356
CHEMBL900	Small molecule	CHEMBL1201023		ENSG00000196876
CHEMBL900	Small molecule	CHEMBL1201023		ENSG00000185313
CHEMBL900	Small molecule	CHEMBL1201023		ENSG00000176884
CHEMBL900	Small molecule	CHEMBL1201023		ENSG00000183454
CHEMBL900	Small molecule	CHEMBL1201023		ENSG00000273079
CHEMBL900	Small molecule	CHEMBL1201023		ENSG00000105464
CHEMBL900	Small molecule	CHEMBL1201023		ENSG00000116032
CHEMBL900	Small molecule	CHEMBL1201023		ENSG00000161509
CHEMBL900	Small molecule	CHEMBL1201023		ENSG00000198785
CHEMBL900	Small molecule	CHEMBL1200395		ENSG00000196639
CHEMBL900	Small molecule	CHEMBL1200395		ENSG00000103546
CHEMBL900	Small molecule	CHEMBL1200395		ENSG00000144285
CHEMBL900	Small molecule	CHEMBL1200395		ENSG00000183873
CHEMBL900	Small molecule	CHEMBL1200395		ENSG00000007314
CHEMBL900	Small molecule	CHEMBL1200395		ENSG00000136546
CHEMBL900	Small molecule	CHEMBL1200395		ENSG00000136531
CHEMBL900	Small molecule	CHEMBL1200395		ENSG00000169432
CHEMBL900	Small molecule	CHEMBL1200395		ENSG00000153253
CHEMBL900	Small molecule	CHEMBL1200395		ENSG00000168356
CHEMBL900	Small molecule	CHEMBL1200395		ENSG00000196876
CHEMBL900	Small molecule	CHEMBL1200395		ENSG00000185313
CHEMBL900	Small molecule	CHEMBL1200395		ENSG00000176884
CHEMBL900	Small molecule	CHEMBL1200395		ENSG00000183454
CHEMBL900	Small molecule	CHEMBL1200395		ENSG00000273079
CHEMBL900	Small molecule	CHEMBL1200395		ENSG00000105464
CHEMBL900	Small molecule	CHEMBL1200395		ENSG00000116032
CHEMBL900	Small molecule	CHEMBL1200395		ENSG00000161509
CHEMBL900	Small molecule	CHEMBL1200395		ENSG00000198785
CHEMBL1086580	Small molecule			
CHEMBL1091	Small molecule			ENSG00000113580
CHEMBL1094982	Small molecule			
CHEMBL1200368	Small molecule	CHEMBL3188891		
CHEMBL1200950	Small molecule		CHEMBL620	ENSG00000168539
CHEMBL1200950	Small molecule		CHEMBL620	ENSG00000133019
CHEMBL1201365	Small molecule			
CHEMBL1201591	Protein			
CHEMBL1201827	Antibody			ENSG00000146648
CHEMBL1229592	Small molecule			
CHEMBL1230020	Small molecule			
CHEMBL1231378	Small molecule			
CHEMBL1235764	Small molecule	CHEMBL3249842		
CHEMBL1235764	Small molecule	CHEMBL3249841		
CHEMBL1255653	Small molecule			
CHEMBL1269257	Small molecule			
CHEMBL1336	Small molecule	CHEMBL1200485		ENSG00000157764
CHEMBL1336	Small molecule	CHEMBL1200485		ENSG00000165731
CHEMBL1336	Small molecule	CHEMBL1200485		ENSG00000122025
CHEMBL1336	Small molecule	CHEMBL1200485		ENSG00000132155
CHEMBL1336	Small molecule	CHEMBL1200485		ENSG00000113721
CHEMBL1336	Small molecule	CHEMBL1200485		ENSG00000102755
CHEMBL1336	Small molecule	CHEMBL1200485		ENSG00000037280
CHEMBL1336	Small molecule	CHEMBL1200485		ENSG00000128052
CHEMBL1336	Small molecule	CHEMBL1200485		ENSG00000157404
CHEMBL1336	Small molecule	CHEMBL4297490		ENSG00000157764
CHEMBL1336	Small molecule	CHEMBL4297490		ENSG00000165731
CHEMBL1336	Small molecule	CHEMBL4297490		ENSG00000122025
CHEMBL1336	Small molecule	CHEMBL4297490		ENSG00000132155
CHEMBL1336	Small molecule	CHEMBL4297490		ENSG00000113721
CHEMBL1336	Small molecule	CHEMBL4297490		ENSG00000102755
CHEMBL1336	Small molecule	CHEMBL4297490		ENSG00000037280
CHEMBL1336	Small molecule	CHEMBL4297490		ENSG00000128052
CHEMBL1336	Small molecule	CHEMBL4297490		ENSG00000157404
CHEMBL1336	Small molecule	CHEMBL1760433		ENSG00000157764
CHEMBL1336	Small molecule	CHEMBL1760433		ENSG00000165731
CHEMBL1336	Small molecule	CHEMBL1760433		ENSG00000122025
CHEMBL1336	Small molecule	CHEMBL1760433		ENSG00000132155
CHEMBL1336	Small molecule	CHEMBL1760433		ENSG00000113721
CHEMBL1336	Small molecule	CHEMBL1760433		ENSG00000102755
CHEMBL1336	Small molecule	CHEMBL1760433		ENSG00000037280
CHEMBL1336	Small molecule	CHEMBL1760433		ENSG00000128052
CHEMBL1336	Small molecule	CHEMBL1760433		ENSG00000157404
CHEMBL1371200	Small molecule		CHEMBL1616951	ENSG00000151623
CHEMBL145781	Small molecule			
CHEMBL1544	Small molecule	CHEMBL2106622		ENSG00000126351
CHEMBL1544	Small molecule	CHEMBL2106622		ENSG00000151090
CHEMBL1544	Small molecule	CHEMBL2107398		ENSG00000126351
CHEMBL1544	Small molecule	CHEMBL2107398		ENSG00000151090
CHEMBL1544	Small molecule	CHEMBL1356342		ENSG00000126351
CHEMBL1544	Small molecule	CHEMBL1356342		ENSG00000151090
CHEMBL1544	Small molecule	CHEMBL1201119		ENSG00000126351
CHEMBL1544	Small molecule	CHEMBL1201119		ENSG00000151090
CHEMBL15976	Small molecule	CHEMBL1256289		
CHEMBL1615278	Small molecule			
CHEMBL1628569	Small molecule			ENSG00000178394
CHEMBL167874	Small molecule			
CHEMBL1681	Small molecule	CHEMBL1200763		
CHEMBL1681	Small molecule	CHEMBL1200439		
CHEMBL1681	Small molecule	CHEMBL2104818		
CHEMBL172806	Small molecule			
CHEMBL1742483	Small molecule			
CHEMBL1774327	Small molecule			
CHEMBL1875086	Small molecule			
CHEMBL195368	Small molecule			
CHEMBL1963249	Small molecule	CHEMBL1923502		ENSG00000121853
CHEMBL1963249	Small molecule	CHEMBL3926779		ENSG00000121853
CHEMBL200849	Small molecule			
CHEMBL2048904	Small molecule			
CHEMBL207095	Small molecule			
CHEMBL207403	Small molecule			
CHEMBL2104397	Small molecule	CHEMBL2107006		
CHEMBL2104797	Small molecule		CHEMBL2110651	
CHEMBL2105807	Small molecule		CHEMBL1909065	
CHEMBL2106071	Small molecule			
CHEMBL210651	Small molecule			
CHEMBL2107806	Small molecule		CHEMBL2111186	
CHEMBL2108345	Oligonucleotide			ENSG00000092969
CHEMBL2109341	Antibody			ENSG00000160791
CHEMBL2109366	Antibody			ENSG00000134460
CHEMBL2109595	Antibody			ENSG00000145777
CHEMBL213618	Small molecule			
CHEMBL2165402	Small molecule			
CHEMBL2177639	Small molecule			
CHEMBL217899	Small molecule			ENSG00000065989
CHEMBL217899	Small molecule			ENSG00000113448
CHEMBL217899	Small molecule			ENSG00000184588
CHEMBL217899	Small molecule			ENSG00000105650
CHEMBL219841	Small molecule			
CHEMBL220467	Small molecule	CHEMBL288708		
CHEMBL22148	Small molecule			
CHEMBL2303621	Small molecule		CHEMBL2023898	
CHEMBL2308885	Small molecule			
CHEMBL2331680	Small molecule	CHEMBL2331681		ENSG00000198793
CHEMBL2346738	Small molecule			ENSG00000168959
CHEMBL24147	Small molecule			
CHEMBL251796	Small molecule			
CHEMBL259898	Small molecule	CHEMBL1573900		
CHEMBL259898	Small molecule	CHEMBL89908		
CHEMBL259898	Small molecule	CHEMBL1551864		
CHEMBL259898	Small molecule	CHEMBL3188432		
CHEMBL262616	Small molecule			
CHEMBL270754	Small molecule			
CHEMBL272980	Small molecule	CHEMBL481122		ENSG00000163517
CHEMBL272980	Small molecule	CHEMBL481122		ENSG00000196591
CHEMBL272980	Small molecule	CHEMBL481122		ENSG00000171720
CHEMBL272980	Small molecule	CHEMBL481122		ENSG00000116478
CHEMBL272980	Small molecule	CHEMBL481122		ENSG00000147099
CHEMBL307429	Small molecule	CHEMBL460785		ENSG00000171298
CHEMBL3102994	Small molecule			
CHEMBL3137320	Small molecule	CHEMBL3137318		ENSG00000129484
CHEMBL3137320	Small molecule	CHEMBL3137318		ENSG00000143799
CHEMBL3137358	Small molecule		CHEMBL501849	
CHEMBL3335307	Small molecule			
CHEMBL334830	Small molecule			
CHEMBL335062	Small molecule			
CHEMBL3422093	Small molecule			
CHEMBL3545128	Cell			
CHEMBL354773	Small molecule			
CHEMBL3559901	Small molecule			
CHEMBL358150	Small molecule			
CHEMBL364713	Small molecule	CHEMBL2106732		
CHEMBL3707218	Small molecule			
CHEMBL3793424	Small molecule			
CHEMBL3989478	Small molecule		CHEMBL1378	ENSG00000149295
CHEMBL4207583	Small molecule			
CHEMBL423192	Small molecule			
CHEMBL4240458	Small molecule			
CHEMBL4283683	Small molecule			
CHEMBL4297325	Small molecule		CHEMBL4301491	
CHEMBL4297494	Small molecule			
CHEMBL4297795	Unknown			
CHEMBL4298038	Unknown			
CHEMBL4298040	Antibody			
CHEMBL452867	Small molecule			
CHEMBL455328	Small molecule			
CHEMBL457299	Small molecule			
CHEMBL4586794	Unknown			
CHEMBL4594430	Small molecule			
CHEMBL46325	Small molecule			
CHEMBL4650372	Unknown			
CHEMBL4650441	Antibody			ENSG00000115598
CHEMBL4650441	Antibody			ENSG00000196083
CHEMBL4791762	Small molecule			
CHEMBL4802135	Small molecule			
CHEMBL485145	Small molecule			
CHEMBL500082	Small molecule			
CHEMBL502124	Small molecule			
CHEMBL521860	Small molecule			
CHEMBL542541	Small molecule		CHEMBL276832	
CHEMBL566636	Small molecule			
CHEMBL589752	Small molecule			
CHEMBL604907	Small molecule			
CHEMBL63895	Small molecule			
CHEMBL762	Small molecule	CHEMBL1200791		ENSG00000120907
CHEMBL762	Small molecule	CHEMBL1200791		ENSG00000150594
CHEMBL762	Small molecule	CHEMBL1200791		ENSG00000184160
CHEMBL762	Small molecule	CHEMBL1200791		ENSG00000171873
CHEMBL762	Small molecule	CHEMBL1200791		ENSG00000170214
CHEMBL762	Small molecule	CHEMBL1200791		ENSG00000274286
CHEMBL76222	Small molecule			ENSG00000157227
CHEMBL76222	Small molecule			ENSG00000100985
CHEMBL76222	Small molecule			ENSG00000118113
CHEMBL76222	Small molecule			ENSG00000137745
CHEMBL76222	Small molecule			ENSG00000196611
CHEMBL76222	Small molecule			ENSG00000087245
CHEMBL10118	Small molecule			
CHEMBL1094042	Small molecule			
CHEMBL117287	Small molecule	CHEMBL4757628		ENSG00000164270
CHEMBL117287	Small molecule	CHEMBL2105748		ENSG00000164270
CHEMBL117287	Small molecule	CHEMBL5199178		ENSG00000164270
CHEMBL117391	Small molecule			
CHEMBL1192519	Small molecule	CHEMBL543766		
CHEMBL1200585	Small molecule			ENSG00000169083
CHEMBL1201242	Small molecule	CHEMBL1200341		ENSG00000144285
CHEMBL1201242	Small molecule	CHEMBL1200341		ENSG00000183873
CHEMBL1201242	Small molecule	CHEMBL1200341		ENSG00000007314
CHEMBL1201242	Small molecule	CHEMBL1200341		ENSG00000136546
CHEMBL1201242	Small molecule	CHEMBL1200341		ENSG00000136531
CHEMBL1201242	Small molecule	CHEMBL1200341		ENSG00000169432
CHEMBL1201242	Small molecule	CHEMBL1200341		ENSG00000153253
CHEMBL1201242	Small molecule	CHEMBL1200341		ENSG00000168356
CHEMBL1201242	Small molecule	CHEMBL1200341		ENSG00000196876
CHEMBL1201242	Small molecule	CHEMBL1200341		ENSG00000185313
CHEMBL1213369	Small molecule			
CHEMBL123025	Small molecule			
CHEMBL1230513	Small molecule			
CHEMBL1234658	Small molecule			
CHEMBL1251	Protein			ENSG00000109163
CHEMBL1276138	Small molecule			ENSG00000152578
CHEMBL1276138	Small molecule			ENSG00000125675
CHEMBL1276138	Small molecule			ENSG00000120251
CHEMBL1276138	Small molecule			ENSG00000155511
CHEMBL1374135	Small molecule			
CHEMBL1619785	Small molecule	CHEMBL1411731		
CHEMBL1712923	Small molecule		CHEMBL136497	
CHEMBL1819259	Small molecule			
CHEMBL1835750	Small molecule			
CHEMBL1880349	Small molecule			
CHEMBL1908350	Small molecule			
CHEMBL1921847	Small molecule			ENSG00000082556
CHEMBL20461	Small molecule			
CHEMBL2103792	Oligonucleotide	CHEMBL2103793		ENSG00000239732
CHEMBL2105745	Small molecule			
CHEMBL2105907	Small molecule			
CHEMBL2107816	Small molecule		CHEMBL2111187	
CHEMBL2108475	Antibody			ENSG00000010610
CHEMBL2111105	Protein	CHEMBL2107369		
CHEMBL217463	Small molecule			
CHEMBL2179834	Protein			
CHEMBL219586	Small molecule			ENSG00000186951
CHEMBL236777	Small molecule			
CHEMBL239508	Small molecule			
CHEMBL2397149	Small molecule			
CHEMBL248713	Small molecule			
CHEMBL258201	Small molecule			
CHEMBL258940	Small molecule	CHEMBL2136050		ENSG00000146648
CHEMBL267936	Small molecule	CHEMBL1237082		ENSG00000117971
CHEMBL267936	Small molecule	CHEMBL1237082		ENSG00000080644
CHEMBL274070	Small molecule			ENSG00000198900
CHEMBL279014	Small molecule	CHEMBL2007389		
CHEMBL282468	Small molecule	CHEMBL2095207		
CHEMBL298312	Small molecule			
CHEMBL3236080	Small molecule			
CHEMBL331378	Small molecule	CHEMBL2105776		
CHEMBL3358611	Small molecule			
CHEMBL3544932	Small molecule			ENSG00000178999
CHEMBL3545073	Small molecule			ENSG00000134318
CHEMBL3545073	Small molecule			ENSG00000067900
CHEMBL3545209	Small molecule			ENSG00000144285
CHEMBL3545209	Small molecule			ENSG00000183873
CHEMBL3545209	Small molecule			ENSG00000007314
CHEMBL3545209	Small molecule			ENSG00000136546
CHEMBL3545209	Small molecule			ENSG00000136531
CHEMBL3545209	Small molecule			ENSG00000169432
